"species","treatment","AVFA","BRHO","VUMY","LACA","ESCA"
"AVFA","dry",0.00489,9e-04,0.00065,7e-05,0.00087
"AVFA","wet",0.00706,0.00103,0.00146,0.00023,0.00301
"BRHO","dry",2.98118,0.05943,0.1971,0.01893,0.17526
"BRHO","wet",3.63021,0.13644,0.26197,0.10444,0.5489
"ESCA","dry",2.91789,0.26441,0.0967,0.03378,0.13696
"ESCA","wet",2.22059,0.09462,0.05813,0.01053,0.03498
"LACA","dry",1.80331,3.75684,0.39047,0.01538,0.51684
"LACA","wet",3.77214,0.78758,0.52345,0.01488,0.5621
"VUMY","dry",0.21619,0.00778,0.00608,0.00063,0.01112
"VUMY","wet",1.10407,0.26858,0.04652,0.02969,0.12925
